,ClauseID,Doc,SentID,SentForm,VForm,VLemma,VMorph,VMorphForm,VTense,VAspect,Voice,VSylCo,VFreq,Aux3,Aux2,Aux1,PassAux,VClass,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,OvertObj,OvertIObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,OvertObl1,Obl2,Obl3,Obl4,Obl5
0,1,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,1,[This killing of a respected cleric will be causing us trouble for years to come.],causing,cause,VBG,Ger,Fut,Simple,Act,2.0,3.31e-05,/,will,be,/,/,This killing of a respected cleric,/,/,killing,7.24e-05,def,Sing,3,nonconc,full,10.0,NN,us,1,0.00102,us,def,Plur,1,human,1.5,PRP,pron,/,/,/,/,/
1,2,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,1,[This killing of a respected cleric will be causing us trouble for years to come.],come,come,VB,Inf,Tenseless,Simple,Act,1.0,0.000603,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2,3,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,announced,announce,VBD,Fin,Past,Simple,Act,2.0,8.71e-05,/,/,/,/,/,Iraqi authorities,/,/,authorities,7.24e-05,indef,Plur,3,org,full,7.0,NNS,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3,4,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,busted,bust,VBN,Part,Past,Perf,Act,2.0,4.79e-06,/,/,had,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1.0,PRP,3 terrorist cells operating in Baghdad,0,4.79e-05,cells,indef,Plur,3,org,11,NNS,full,/,/,/,/,/
4,5,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,2,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.,operating,operate,VBG,Ger,Tenseless,Simple,Act,4.0,5.37e-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
5,6,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,3,Two of them were being run by 2 officials of the Ministry of the Interior!,run,run,VBN,Part,Past,Prog,Pass,1.0,0.000295,/,were,being,be,/,Two of them,/,/,Two,0.00129,indef,Plur,3,conc,num,3.0,CD,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
6,7,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",be,be,VB,Inf,Tenseless,Simple,Act,1.0,0.00631,/,/,would,/,/,this,/,/,this,0.00631,indef,Sing,3,/,det,1.0,DT,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
7,8,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",having,have,VBG,Ger,Tenseless,Simple,Act,2.0,0.000363,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
8,9,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,4,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.",employ,employ,VB,Inf,Tenseless,Simple,Act,2.0,8.91e-06,/,/,/,/,/,J. Edgar Hoover,/,/,J.,9.77e-05,def,Sing,3,/,proper,5.0,NNP,members of the Weathermen bombers,0,0.000245,members,indef,Plur,3,NMA!,9.0,NNS,full,/,/,/,/,/
9,10,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,5,The third was being run by the head of an investment firm.,run,run,VBN,Part,Past,Prog,Pass,1.0,0.000295,/,was,being,be,/,The third,/,/,third,0.000209,def,/,3,conc,NMN!,2.0,JJ,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
10,11,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,6,You wonder if he was manipulating the market with his bombing targets.,wonder,wonder,VBP,Fin,Pres,Simple,Act,2.0,7.59e-05,/,/,/,/,/,You,/,/,You,0.00977,def,/,2,human,pron,1.0,PRP,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
11,12,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,6,You wonder if he was manipulating the market with his bombing targets.,manipulating,manipulate,VBG,Part,Past,Simple,Act,5.0,2.75e-06,/,/,was,/,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1.0,PRP,the market,0,0.000195,market,def,Sing,3,org,3.0,NN,full,/,/,/,/,/
12,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,7,The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.,operating,operate,VBG,Part,Past,Simple,Act,4.0,5.37e-05,/,/,were,/,/,The cells,/,/,cells,4.79e-05,def,Plur,3,org,full,2.0,NNS,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
13,14,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",made,make,VBN,Part,Past,Simple,Pass,1.0,0.000832,/,/,was,be,/,the announcement,/,/,announcement,1.95e-05,def,Sing,3,nonconc,full,4.0,NN,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
14,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",show,show,VB,Inf,Tenseless,Simple,Act,1.0,0.000437,/,/,/,/,/,the announcement,/,/,announcement,1.95e-05,def,Sing,3,nonconc,full,4.0,NN,progress in identifying and breaking up terror cells,0,6.46e-05,progress,indef,Sing,3,nonconc,15.0,NN,full,/,/,/,/,/
15,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",identifying,identify,VBG,Ger,Tenseless,Simple,Act,5.0,1.1e-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,terror cells,0,4.79e-05,cells,indef,Plur,3,org,3.0,NNS,full,/,/,/,/,/
16,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",breaking,break,VBG,Ger,Tenseless,Simple,Act,2.0,5.25e-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,terror cells,0,4.79e-05,cells,indef,Plur,3,org,3.0,NNS,full,/,/,/,/,/
17,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",find,find,VB,Inf,Pres,Simple,Act,1.0,0.00055,/,/,do,/,/,I,/,/,I,0.0129,def,Sing,1,human,pron,1.0,PRP,the news that the Baathists continue to penetrate the Iraqi government,0,0.000257,news,def,Sing,3,nonconc,21,NN,full,/,/,/,/,/
18,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",continue,continue,VBP,Fin,Pres,Simple,Act,3.0,0.00012,/,/,/,/,/,the Baathists,/,/,Baathists,4.07e-08,def,Plur,3,/,proper,3,NNPS,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
19,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,8,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.",penetrate,penetrate,VB,Inf,Tenseless,Simple,Act,3.0,3.89e-06,/,/,/,/,/,the Baathists,/,/,Baathists,4.07e-08,def,Plur,3,/,proper,3,NNPS,the Iraqi government,0,0.000479,government,def,Sing,3,org,7.0,NN,full,/,/,/,/,/
20,21,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,reminds,remind,VBZ,Fin,Pres,Simple,Act,2.0,1.74e-05,/,/,/,/,/,It,/,/,It,0.00912,def,Sing,3,nonconc,pron,1.0,PRP,me,0,0.00331,me,def,Sing,1,human,1.0,PRP,pron,/,/,/,/,/
21,22,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,9,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.,working,work,VBG,Part,Past,Simple,Act,2.0,0.000282,/,/,were,/,/,who,of the ARVN officers who were secretly working for the other side in Vietnam,/,who,0.00224,def,Plur,3,human,wh,1.0,NNS,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
22,23,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,10,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.,killed,kill,VBD,Fin,Past,Simple,Act,1.0,0.000155,/,/,/,/,/,Guerrillas,/,/,Guerrillas,1.66e-06,indef,Plur,3,human,full,3.0,NNS,a member of the Kurdistan Democratic Party,0,0.000162,member,indef,Sing,3,NMA!,14.0,NN,full,/,/,/,/,/
23,24,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,10,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.,kidnapping,kidnap,VBG,Ger,Tenseless,Simple,Act,3.0,5.75e-06,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,him,0,0.00126,him,def,Sing,3,human,1.0,PRP,pron,/,/,/,/,/
24,25,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.",announced,announce,VBD,Fin,Past,Simple,Act,2.0,8.71e-05,/,/,/,/,/,The police commander of Ninevah Province,/,/,commander,3.31e-05,def,Sing,3,human,full,13,NN,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
25,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.",declined,decline,VBN,Part,Past,Perf,Act,2.0,1.66e-05,/,/,had,/,/,bombings,/,/,bombings,2.95e-06,indef,Plur,3,nonconc,full,2.0,NNS,80 percent,0,9.77e-05,percent,indef,Sing,3,nonconc,2,NN,full,/,/,/,/,/
26,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.",been,be,VBN,Part,Past,Perf,Act,1.0,0.00191,/,/,had,/,/,a big jump in the number of kidnappings,/,/,jump,4.57e-05,indef,Sing,3,conc,full,11.0,NN,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
27,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,12,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.,kidnapped,kidnap,VBN,Part,Past,Perf,Act,2.0,8.51e-06,/,/,had,/,/,guerrillas,/,/,guerrillas,1.66e-06,indef,Plur,3,human,full,3.0,NNS,a cosmetic surgeon and his wife,0,1.2e-05;;0.000162,surgeon;;wife,indef;;indef,Plur,3,human;;human,9.0,NN;;NN,full;;full,/,/,/,/,/
28,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,13,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.",discovered,discover,VBN,Part,Past,Simple,Pass,3.0,5.5e-05,/,/,were,be,/,two car bombs,/,/,bombs,1.32e-05,indef,Sing,3,conc,full,3.0,NN,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
29,30,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,13,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.",detonated,detonate,VBN,Part,Tenseless,Simple,Pass,4.0,1.23e-06,/,could,be,be,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1.0,PRP,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
30,31,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.",has,have,VBZ,Fin,Pres,Simple,Act,1.0,0.00234,/,/,/,/,/,Kut,/,/,Kut,2.69e-07,def,Sing,3,/,proper,1.0,NNP,"an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",0,0.000132,population,indef,Sing,3,nonconc,32,NN,full,/,/,/,/,/
31,32,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.",turn,turn,VBP,Fin,Pres,Simple,Act,1.0,0.000219,/,/,/,/,/,who,"an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in",/,who,0.00224,def,Sing,3,nonconc,wh,1.0,NN,them,0,0.00155,them,def,Plur,3,/,1.0,PRP,pron,/,/,/,/,/
32,33,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,15,This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.),opposed,oppose,VBN,Part,Tenseless,Simple,Act,2.0,3.63e-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
33,34,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,16,"In Baghdad Kadhim Talal Husain, assistant dean at the School of Education at Mustansiriyah University, was assassinated with his driver in the Salikh district.",assassinated,assassinate,VBN,Part,Past,Simple,Pass,5.0,2.82e-06,/,/,was,be,/,"Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University",/,/,Kadhim,4.57e-08,def,Sing,3,/,proper,29,NNP,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
34,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,17,"Guerrillas killed an engineer, Asi Ali, from Tikrit.",killed,kill,VBD,Fin,Past,Simple,Act,1.0,0.000155,/,/,/,/,/,Guerrillas,/,/,Guerrillas,1.66e-06,indef,Plur,3,human,full,3.0,NNS,"an engineer , Asi Ali , from Tikrit",0,2.45e-05,engineer,indef,Sing,3,human,11,NN,full,/,/,/,/,/
35,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,18,"They also killed Shaikh Hamid 'Akkab, a clan elder of a branch of the Dulaim tribe in Tikrit.",killed,kill,VBD,Fin,Past,Simple,Act,1.0,0.000155,/,/,/,/,/,They,/,/,They,0.00324,def,Plur,3,/,pron,1.0,PRP,"Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe",0,5.37e-07,Shaikh,def,Sing,3,/,17,NNP,proper,/,/,/,/,/
36,37,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000,19,His mother was also killed in the attack.,killed,kill,VBN,Part,Past,Simple,Pass,1.0,0.000155,/,/,was,be,/,His mother,/,/,mother,0.000191,indef,Sing,3,human,full,3.0,NN,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/
